epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_duration_sec,checkpoint_count,checkpoint_time_sec,checkpoint_size_mb
0,0.6887630224227905,56.25,0.7450516819953918,42.5,26.750614166259766,1,0.7360808849334717,46.36621856689453
1,0.6140381097793579,66.875,0.7567387819290161,53.75,30.734841346740723,1,0.7313230037689209,46.36621856689453
2,0.5560718178749084,73.75,0.7369883060455322,65.0,21.685014247894287,1,0.6821491718292236,46.36621856689453
3,0.49574989080429077,77.1875,0.755935549736023,61.25,20.324583292007446,0,0.0,0.0
4,0.4259887635707855,80.625,0.7969149351119995,58.75,20.372790098190308,0,0.0,0.0
5,0.4314519464969635,78.4375,0.7501036524772644,72.5,20.462469816207886,1,0.6189908981323242,46.36621856689453
6,0.4018535017967224,80.9375,0.7888315916061401,71.25,20.409298419952393,0,0.0,0.0
7,0.3898022472858429,81.5625,0.7721913456916809,70.0,20.501020669937134,0,0.0,0.0
8,0.370655357837677,82.1875,0.7641409635543823,70.0,20.434475421905518,0,0.0,0.0
9,0.3636503219604492,83.75,0.8041495680809021,71.25,20.369905710220337,0,0.0,0.0
10,0.31933507323265076,84.375,0.8215726613998413,72.5,20.365787744522095,0,0.0,0.0
11,0.3378690779209137,83.4375,0.8469451665878296,73.75,20.389649868011475,1,0.7037084102630615,46.36621856689453
12,0.32702940702438354,84.6875,0.8368520140647888,73.75,20.391801834106445,0,0.0,0.0
13,0.3152923882007599,84.6875,0.8705766797065735,71.25,20.386016130447388,0,0.0,0.0
14,0.2720789313316345,86.25,0.897086501121521,72.5,20.397494077682495,0,0.0,0.0
15,0.2894887924194336,86.875,0.8683229684829712,70.0,21.66291308403015,0,0.0,0.0
16,0.26874256134033203,88.4375,0.9002132415771484,71.25,26.54407048225403,0,0.0,0.0
17,0.25039756298065186,88.125,0.9252609014511108,70.0,20.41023826599121,0,0.0,0.0
18,0.2668783664703369,89.6875,0.9087010622024536,70.0,20.393587112426758,0,0.0,0.0
19,0.25839006900787354,88.125,0.8698750734329224,71.25,20.424567699432373,0,0.0,0.0
